source_id,grid_label,xname,yname,lonname,latname,zname
ACCESS-CM2,gn,i,j,longitude,latitude,lev
ACCESS-ESM1-5,gn,i,j,longitude,latitude,lev
AWI-CM-1-1-MR,gn,,,,,depth
AWI-ESM-1-1-LR,gn,,,,,depth
BCC-CSM2-MR,gn,lon,lat,longitude,latitude,lev
BCC-ESM1,gn,lon,lat,longitude,latitude,lev
CAMS-CSM1-0,gn,i,j,longitude,latitude,lev
CanESM5,gn,i,j,longitude,latitude,lev
CanESM5-CanOE,gn,i,j,longitude,latitude,lev
CESM2,gn,nlon,nlat,lon,lat,lev
CESM2-FV2,gn,nlon,nlat,lon,lat,lev
CESM2-WACCM,gn,nlon,nlat,lon,lat,lev
CESM2-WACCM-FV2,gn,nlon,nlat,lon,lat,lev
CIESM,gn,i,j,longitude,latitude,lev
CMCC-CM2-SR5,gn,i,j,longitude,latitude,lev
CMCC-ESM2,gn,i,j,longitude,latitude,lev
CNRM-CM6-1,gn,x,y,lon,lat,lev
CNRM-CM6-1-HR,gn,x,y,lon,lat,lev
CNRM-ESM2-1,gn,x,y,lon,lat,lev
E3SM-1-0,gr,lon,lat,,,lev
E3SM-1-1,gr,lon,lat,,,lev
E3SM-1-1-ECA,gr,lon,lat,,,lev
EC-Earth3,gn,i,j,longitude,latitude,lev
EC-Earth3-LR,gn,i,j,longitude,latitude,lev
FGOALS-f3-L,gn,i,j,longitude,latitude,lev
FGOALS-g3,gn,i,j,longitude,latitude,lev
GFDL-CM4,gn,x,y,lon,lat,lev
GFDL-ESM4,gn,x,y,lon,lat,lev
GISS-E2-1-G,gn,lon,lat,,,lev
GISS-E2-1-G-CC,gn,lon,lat,,,lev
GISS-E2-1-H,gr,lon,lat,,,lev
GISS-E2-2-G,gn,lon,lat,,,lev
HadGEM3-GC31-LL,gn,i,j,longitude,latitude,lev
HadGEM3-GC31-MM,gn,i,j,longitude,latitude,lev
ICON-ESM-LR,gn,,,,,lev
IITM-ESM,gn,x,y,longitude,latitude,lev
INM-CM4-8,gr1,lon,lat,,,lev
IPSL-CM6A-LR,gn,x,y,nav_lon,nav_lat,olevel
MCM-UA-1-0,gn,longitude,latitude,,,lev
MIROC6,gn,x,y,longitude,latitude,lev
MIROC-ES2L,gn,x,y,longitude,latitude,lev
MPI-ESM1-2-HR,gn,i,j,longitude,latitude,lev
MPI-ESM1-2-LR,gn,i,j,longitude,latitude,lev
MRI-ESM2-0,gn,x,y,longitude,latitude,lev
NESM3,gn,i,j,longitude,latitude,lev
NorCPM1,gr,i,j,longitude,latitude,lev
NorESM2-LM,gn,i,j,longitude,latitude,rho
NorESM2-MM,gn,i,j,longitude,latitude,rho
SAM0-UNICON,gn,i,j,longitude,latitude,lev
TaiESM1,gn,i,j,longitude,latitude,lev
UKESM1-0-LL,gn,i,j,longitude,latitude,lev
